frequency,word
5011.0,i
4987.0,to
4335.0,you
3824.0,birthday
3761.0,the
3657.0,and
3238.0,so
3162.0,a
2409.0,my
2135.0,for
1826.0,be
1720.0,im
1686.0,is
1661.0,of
1590.0,me
1412.0,in
1369.0,that
1289.0,it
1275.0,this
1235.0,with
1101.0,love
1098.0,day
1041.0,your
1017.0,have
918.0,but
872.0,are
870.0,just
823.0,on
820.0,was
795.0,i'm
794.0,all
703.0,hope
642.0,not
634.0,we
607.0,makes
565.0,at
544.0,good
544.0,make
540.0,as
534.0,one
525.0,if
520.0,like
518.0,when
505.0,see
451.0,am
444.0,about
441.0,u
436.0,what
418.0,can
417.0,they
409.0,its
407.0,he
403.0,how
401.0,get
393.0,do
392.0,life
388.0,much
386.0,know
385.0,really
380.0,great
360.0,very
360.0,been
360.0,will
357.0,up
355.0,now
355.0,best
354.0,today
352.0,more
346.0,from
338.0,people
335.0,always
330.0,out
320.0,time
315.0,her
314.0,bday
314.0,got
312.0,had
302.0,may
302.0,our
293.0,thank
288.0,-
281.0,an
278.0,miss
275.0,dont
274.0,she
268.0,him
264.0,being
264.0,would
261.0,us
248.0,no
248.0,want
246.0,who
240.0,them
238.0,new
237.0,go
231.0,because
227.0,never
224.0,or
223.0,it's
222.0,too
220.0,by
219.0,"happy,"
219.0,has
216.0,girl
215.0,back
211.0,cant
210.0,going
205.0,friday
205.0,feel
204.0,made
204.0,"birthday,"
198.0,man
197.0,think
196.0,his
194.0,wish
192.0,here
192.0,only
192.0,youre
191.0,everyone
186.0,star
186.0,year
184.0,heart
184.0,some
184.0,well
183.0,were
183.0,there
180.0,still
178.0,thanks
177.0,say
177.0,even
177.0,look
176.0,friends
175.0,god
174.0,beautiful
174.0,enjoy
173.0,why
169.0,bro
166.0,many
164.0,:)
164.0,right
163.0,amazing
163.0,don't
162.0,you're
160.0,first
160.0,little
158.0,ever
156.0,could
156.0,wars
153.0,their
151.0,baby
149.0,again
149.0,hour
149.0,years
148.0,keep
147.0,then
147.0,lol
145.0,did
143.0,than
143.0,things
142.0,sad
141.0,finally
141.0,need
141.0,work
140.0,morning
140.0,way
139.0,ive
138.0,please
135.0,seeing
135.0,making
134.0,also
132.0,home
129.0,let
129.0,big
129.0,gonna
127.0,days
127.0,someone
127.0,over
123.0,last
123.0,","
122.0,most
122.0,such
122.0,help
121.0,world
118.0,after
117.0,bless
116.0,friend
116.0,every
115.0,long
115.0,come
115.0,pretty
114.0,stay
114.0,getting
114.0,better
114.0,doing
114.0,hear
114.0,take
113.0,proud
113.0,2
112.0,3
112.0,wait
112.0,live
111.0,these
110.0,shit
110.0,any
109.0,family
109.0,thursday
108.0,omg
107.0,other
106.0,deserve
105.0,sure
103.0,off
103.0,ya
103.0,thats
103.0,t
102.0,"you,"
102.0,wonderful
100.0,another
98.0,everything
98.0,having
98.0,into
98.0,week
98.0,w
98.0,tell
97.0,hard
96.0,anniversary
94.0,night
93.0,weekend
93.0,hi
92.0,person
91.0,fucking
91.0,wanna
90.0,thing
89.0,yall
89.0,tomorrow
89.0,guys
88.0,oh
88.0,next
88.0,hes
88.0,old
88.0,actually
87.0,same
87.0,i've
87.0,glad
87.0,ill
86.0,fun
86.0,4th
86.0,together
85.0,since
85.0,belated
85.0,super
85.0,ur
85.0,yes
84.0,show
84.0,both
84.0,two
84.0,awesome
84.0,something
83.0,done
82.0,game
82.0,should
82.0,congrats
81.0,place
81.0,we're
81.0,favorite
80.0,smile
80.0,happiness
80.0,where
80.0,literally
80.0,tonight
80.0,can't
80.0,lot
79.0,those
79.0,sweet
79.0,1
78.0,soon
78.0,said
77.0,b
77.0,mom
76.0,nice
76.0,watching
75.0,ass
74.0,guy
74.0,sorry
74.0,twitter
74.0,video
74.0,find
74.0,honestly
74.0,give
72.0,feeling
72.0,found
72.0,before
71.0,around
70.0,music
70.0,boy
70.0,hey
70.0,ending
70.0,looks
70.0,nothing
70.0,team
70.0,real
69.0,without
69.0,bc
68.0,brother
68.0,starwarsday
68.0,i'll
68.0,does
68.0,care
68.0,cute
68.0,anything
67.0,trying
67.0,myself
67.0,free
67.0,thought
66.0,fuck
65.0,4
65.0,excited
65.0,maythe4thbewithyou
64.0,through
64.0,post
64.0,&lt
64.0,that's
63.0,news
63.0,wow
63.0,late
63.0,shes
62.0,face
62.0,hate
62.0,rn
61.0,healthy
61.0,s
61.0,while
61.0,supernatural
61.0,mean
61.0,whole
61.0,put
61.0,didnt
60.0,bad
60.0,dude
59.0,support
59.0,already
59.0,cry
58.0,)
58.0,almost
57.0,went
57.0,early
57.0,down
57.0,n
57.0,truly
56.0,g
56.0,dear
56.0,"me,"
56.0,saw
56.0,blessed
55.0,wanted
55.0,remember
55.0,looking
55.0,special
55.0,@kconusa
55.0,@williegeist
55.0,wishing
