frequency,word
8442.0,i
3583.0,to
2939.0,the
2663.0,my
2551.0,and
2427.0,you
2426.0,so
2278.0,a
1756.0,me
1553.0,im
1507.0,is
1418.0,but
1416.0,it
1264.0,of
1201.0,this
1154.0,for
1138.0,in
1027.0,that
994.0,love
991.0,miss
847.0,be
835.0,have
829.0,just
815.0,was
796.0,on
795.0,not
702.0,want
683.0,u
643.0,like
642.0,with
602.0,i'm
599.0,no
598.0,get
591.0,sad
581.0,are
554.0,at
549.0,too
539.0,much
535.0,really
531.0,all
522.0,dont
504.0,sorry
501.0,go
489.0,:-(
475.0,he
465.0,do
461.0,we
449.0,out
430.0,they
428.0,one
424.0,can
415.0,its
412.0,why
408.0,know
407.0,him
407.0,up
404.0,now
401.0,when
400.0,your
399.0,if
381.0,feel
370.0,wanna
368.0,see
364.0,what
352.0,how
345.0,them
334.0,about
333.0,wish
327.0,good
322.0,cute
320.0,hope
318.0,got
316.0,need
310.0,don't
305.0,please
301.0,time
300.0,more
300.0,still
298.0,had
293.0,will
287.0,oh
284.0,been
283.0,her
281.0,from
279.0,cant
271.0,back
263.0,his
258.0,she
251.0,gonna
249.0,baby
248.0,&gt
243.0,going
241.0,bad
240.0,someone
239.0,only
239.0,even
236.0,or
232.0,never
231.0,today
231.0,day
230.0,because
226.0,thank
223.0,think
223.0,it's
221.0,am
221.0,people
220.0,some
218.0,as
212.0,did
209.0,would
208.0,same
205.0,here
202.0,friends
202.0,could
199.0,an
198.0,there
197.0,make
187.0,come
180.0,omg
179.0,always
178.0,again
178.0,work
174.0,didnt
172.0,take
169.0,who
169.0,better
168.0,bc
164.0,heart
162.0,last
160.0,pls
160.0,has
159.0,right
158.0,well
158.0,can't
156.0,hate
150.0,already
150.0,being
148.0,home
147.0,okay
147.0,were
146.0,soon
146.0,tomorrow
143.0,hes
142.0,-
141.0,over
141.0,ever
141.0,ill
140.0,youre
140.0,look
138.0,left
137.0,ur
137.0,then
135.0,stop
133.0,week
131.0,new
130.0,getting
130.0,best
129.0,watch
128.0,guys
126.0,happy
125.0,their
123.0,since
122.0,live
122.0,where
122.0,tonight
122.0,help
121.0,thats
118.0,man
118.0,first
116.0,by
116.0,way
115.0,life
115.0,spades
115.0,year
112.0,let
112.0,tickets
112.0,unique
111.0,ive
111.0,night
110.0,2
109.0,us
109.0,thing
109.0,than
109.0,tho
108.0,also
108.0,3
108.0,down
107.0,next
105.0,didn't
105.0,rn
105.0,talk
105.0,find
105.0,you're
104.0,little
104.0,cry
104.0,poor
104.0,wanted
104.0,sleep
103.0,though
103.0,say
103.0,ugh
103.0,missed
101.0,very
101.0,damn
101.0,trying
101.0,something
101.0,any
101.0,makes
100.0,made
100.0,give
100.0,lot
99.0,video
98.0,idk
98.0,show
98.0,thought
98.0,everyone
97.0,w
97.0,off
96.0,other
95.0,girl
95.0,after
95.0,hard
92.0,friend
91.0,yeah
91.0,deserve
91.0,days
90.0,doing
90.0,these
90.0,shit
90.0,our
90.0,actually
90.0,na
90.0,play
89.0,many
89.0,should
88.0,yet
88.0,n
87.0,most
87.0,lol
87.0,wait
86.0,god
86.0,before
85.0,house
85.0,sucks
85.0,i've
84.0,that's
84.0,yall
83.0,havent
83.0,wont
82.0,soft
81.0,said
81.0,@bts_twt
81.0,ok
81.0,every
80.0,does
80.0,wow
80.0,mean
80.0,such
80.0,tell
79.0,those
79.0,saw
79.0,yes
79.0,anyone
79.0,i'll
79.0,keep
78.0,maybe
78.0,nice
78.0,try
78.0,great
78.0,pretty
77.0,looks
77.0,anything
77.0,having
76.0,seeing
76.0,buy
76.0,able
76.0,feeling
75.0,theyre
75.0,morning
75.0,literally
75.0,fun
75.0,anymore
75.0,hi
75.0,game
75.0,two
74.0,away
73.0,school
73.0,follow
73.0,went
73.0,myself
73.0,whole
73.0,aw
73.0,old
73.0,money
72.0,crying
72.0,missing
72.0,long
72.0,things
71.0,fuck
71.0,lost
71.0,may
71.0,hurts
70.0,hours
70.0,he's
70.0,bts
70.0,hear
69.0,boy
69.0,:((((((
69.0,sick
69.0,fucking
69.0,iv
68.0,eat
68.0,everything
68.0,without
67.0,big
67.0,sweet
67.0,hair
67.0,watching
66.0,mom
66.0,late
66.0,probably
65.0,@youtube
65.0,meet
65.0,doesnt
64.0,leave
64.0,tired
63.0,true
63.0,care
62.0,beautiful
62.0,dm
62.0,years
61.0,making
61.0,believe
61.0,real
61.0,hey
60.0,both
60.0,birthday
59.0,phone
59.0,ago
59.0,liked
59.0,through
59.0,into
59.0,nothing
59.0,person
58.0,mine
58.0,tried
58.0,bring
58.0,power
57.0,another
57.0,hurt
57.0,hug
57.0,shes
56.0,happened
56.0,update
55.0,family
55.0,enough
55.0,found
55.0,use
54.0,super
54.0,thanks
54.0,b
54.0,bed
54.0,used
54.0,while
54.0,broke
53.0,remember
53.0,sure
53.0,twitter
53.0,lmao
53.0,guess
53.0,cause
53.0,end
52.0,t
52.0,1
52.0,&lt
51.0,stream
51.0,talking
51.0,stay
51.0,tweet
51.0,looking
51.0,they're
50.0,band
50.0,world
50.0,until
50.0,isnt
50.0,done
50.0,dog
49.0,seen
49.0,part
49.0,wrong
49.0,"you,"
49.0,:)
49.0,tour
49.0,ate
49.0,few
48.0,bitch
48.0,movie
47.0,full
47.0,face
47.0,kinda
47.0,ass
47.0,rest
47.0,theres
47.0,wtf
46.0,cat
46.0,lil
46.0,honestly
46.0,alone
46.0,gone
46.0,working
46.0,coming
46.0,food
46.0,mad
46.0,far
46.0,stuff
45.0,s
45.0,name
45.0,thinking
45.0,dude
45.0,summer
45.0,send
45.0,leaving
45.0,mutuals
45.0,put
45.0,weekend
45.0,sa
45.0,start
44.0,:-((
44.0,own
43.0,least
43.0,gets
43.0,ily
42.0,sounds
42.0,aww
42.0,@
42.0,concert
42.0,5
42.0,mr
42.0,4
42.0,iii
41.0,couldnt
41.0,die
41.0,break
41.0,won't
41.0,wants
41.0,doesn't
41.0,y
41.0,girls
41.0,call
40.0,came
40.0,dad
40.0,win
40.0,hang
40.0,upset
40.0,post
40.0,sadly
39.0,ask
39.0,ppl
39.0,told
39.0,bored
39.0,","
39.0,fan
39.0,pain
39.0,knew
38.0,scared
38.0,:(((((((
38.0,id
38.0,"sakurai,"
38.0,playing
38.0,music
38.0,took
38.0,uwu
38.0,month
37.0,sm
37.0,parents
37.0,rlly
37.0,ready
37.0,together
37.0,news
37.0,amazing
37.0,place
37.0,haven't
37.0,free
37.0,war
37.0,weeks
36.0,luck
36.0,mood
36.0,around
36.0,pa
36.0,r
36.0,might
36.0,favorite
36.0,huhu
35.0,once
35.0,wasnt
35.0,listen
35.0,worst
35.0,almost
35.0,saying
35.0,cutest
35.0,close
35.0,boys
35.0,sometimes
35.0,head
35.0,must
35.0,guy
34.0,waiting
34.0,kids
34.0,read
34.0,hopefully
34.0,song
34.0,gotta
34.0,precious
34.0,account
34.0,rip
34.0,annoying
34.0,boyfriend
33.0,dead
33.0,cream
33.0,wake
33.0,forever
33.0,started
33.0,bby
33.0,isn't
33.0,chance
33.0,asleep
32.0,pero
32.0,season
32.0,sending
32.0,died
32.0,kind
32.0,whats
32.0,lose
32.0,there's
32.0,boo
32.0,bit
32.0,ice
32.0,babies
32.0,infinity
31.0,else
31.0,"no,"
31.0,finally
31.0,text
31.0,high
31.0,sister
31.0,car
31.0,change
31.0,voice
31.0,angel
31.0,loved
31.0,feels
31.0,hot
31.0,"me,"
31.0,smile
31.0,wasn't
31.0,forgot
31.0,felt
30.0,yourself
30.0,which
30.0,loves
30.0,premiosmtvmiaw
30.0,woke
30.0,instead
30.0,hello
30.0,hoping
30.0,ko
30.0,funny
30.0,nobody
29.0,ivos
29.0,hugs
29.0,ang
29.0,tbh
29.0,lonely
29.0,hell
29.0,what's
29.0,busy
29.0,each
29.0,understand
29.0,bro
29.0,ugly
29.0,ya
29.0,supposed
28.0,awww
28.0,early
28.0,heard
28.0,nervous
28.0,bb
28.0,cut
28.0,me:
28.0,save
28.0,eyes
28.0,g
28.0,star
28.0,)
28.0,wouldnt
27.0,looked
27.0,ticket
27.0,either
27.0,sold
27.0,small
27.0,she's
27.0,glad
27.0,link
27.0,times
27.0,hungry
27.0,imagine
26.0,room
26.0,turn
26.0,months
26.0,goes
26.0,safe
26.0,movies
26.0,during
26.0,check
26.0,asked
26.0,taking
26.0,songs
26.0,excited
26.0,job
26.0,af
26.0,yesterday
26.0,top
26.0,forget
25.0,prom
25.0,friday
25.0,o
25.0,date
25.0,cool
25.0,internet
25.0,dream
25.0,means
25.0,la
25.0,bf
25.0,craving
25.0,bought
25.0,pay
25.0,:-(((
25.0,yoongi
25.0,hit
25.0,watched
25.0,stomach
25.0,kid
25.0,couple
25.0,sleeping
25.0,stupid
25.0,met
24.0,daddy
24.0,three
24.0,feelings
24.0,brother
24.0,weather
24.0,run
24.0,support
24.0,6
24.0,emo
24.0,lang
24.0,definitely
24.0,group
24.0,th
24.0,fine
24.0,happen
24.0,reason
24.0,loss
23.0,games
23.0,sigh
23.0,we're
23.0,asking
23.0,weird
23.0,monday
23.0,yo
23.0,pictures
23.0,officially
23.0,fall
23.0,seems
23.0,i'd
23.0,deleted
23.0,move
23.0,"it,"
23.0,ones
23.0,hour
23.0,mind
23.0,reply
23.0,awful
23.0,plans
23.0,past
23.0,:(:
23.0,suck
23.0,pics
22.0,point
22.0,team
22.0,unfortunately
22.0,hand
22.0,worse
22.0,joke
22.0,body
22.0,proud
22.0,party
22.0,keeps
22.0,badly
22.0,nooo
22.0,d
22.0,de
22.0,dance
22.0,jimin
22.0,lucky
22.0,h
22.0,usually
22.0,till
22.0,college
22.0,lets
21.0,sent
21.0,roarforchange
21.0,sunday
21.0,luv
21.0,cuddle
21.0,exactly
21.0,babe
21.0,fans
21.0,pray
21.0,gay
21.0,realize
21.0,short
21.0,broken
21.0,happening
21.0,stan
21.0,videos
21.0,due
21.0,chicken
21.0,seriously
21.0,sis
21.0,bar
21.0,tweets
21.0,pic
21.0,notice
21.0,fast
21.0,wars
20.0,drive
20.0,f
20.0,enjoy
20.0,stuck
20.0,lately
20.0,"sorry,"
20.0,problem
20.0,goodnight
20.0,10
20.0,message
20.0,arent
20.0,open
20.0,hahaha
20.0,sooo
20.0,shut
20.0,totally
20.0,app
20.0,afraid
20.0,answer
20.0,scary
20.0,couldn't
20.0,:-((((
20.0,under
20.0,pass
20.0,starting
20.0,fav
20.0,hold
20.0,ako
20.0,drop
20.0,@ivofspades
20.0,shows
20.0,x
20.0,pick
20.0,m
19.0,episode
19.0,later
19.0,kiss
19.0,wonder
19.0,nose
19.0,fight
19.0,bestie
19.0,picture
19.0,tag
19.0,longer
19.0,nails
19.0,says
19.0,"well,"
19.0,c
19.0,needs
19.0,let's
19.0,knows
19.0,deserves
19.0,ig
18.0,strong
18.0,puppy
18.0,fandom
18.0,moment
18.0,tom
18.0,card
18.0,swear
18.0,noooo
18.0,harry
18.0,fix
18.0,bear
18.0,dear
18.0,everyday
18.0,nct
18.0,pizza
18.0,abt
18.0,beach
18.0,ng
18.0,naman
18.0,crazy
18.0,water
18.0,nope
18.0,ah
18.0,cannot
18.0,half
17.0,rt
17.0,mutual
17.0,truly
17.0,blue
17.0,store
17.0,via
17.0,cold
17.0,jungkook
17.0,city
17.0,walk
17.0,album
17.0,@troyesivan
17.0,fell
17.0,fam
17.0,emotional
17.0,lots
17.0,listening
17.0,son
17.0,sweetest
17.0,experience
17.0,fake
17.0,tl
17.0,skin
17.0,hella
17.0,case
17.0,deal
17.0,sun
17.0,drunk
17.0,health
17.0,wala
17.0,different
17.0,online
17.0,knowing
17.0,@jacobsartorius
17.0,:/
17.0,final
17.0,sound
17.0,shy
17.0,p
17.0,soooo
17.0,course
17.0,exo
17.0,black
17.0,you'll
17.0,using
17.0,7
17.0,behind
16.0,20
16.0,dick
16.0,especially
16.0,worry
16.0,tryna
16.0,youtube
16.0,honey
16.0,whenever
16.0,adorable
16.0,kill
16.0,smoke
16.0,called
16.0,agree
16.0,haha
16.0,/
16.0,agentsofshield
16.0,senior
16.0,dark
16.0,feed
16.0,dogs
16.0,finals
16.0,side
16.0,cried
16.0,cuz
16.0,heartbreaking
16.0,number
16.0,taken
16.0,11:11
16.0,giving
16.0,ahhh
16.0,stressed
16.0,currently
16.0,reading
16.0,anxious
16.0,white
16.0,comes
16.0,aint
16.0,"yes,"
16.0,single
16.0,sleepy
16.0,horrible
16.0,except
16.0,truth
16.0,cutie
15.0,skinny
15.0,::
15.0,thread
15.0,@jamescharles
15.0,coffee
15.0,finished
15.0,fortnite
15.0,ended
15.0,anxiety
15.0,gym
15.0,add
15.0,sit
15.0,killed
15.0,jk
15.0,wheres
15.0,drink
15.0,decided
15.0,easy
15.0,forward
15.0,earlier
15.0,appreciate
15.0,bday
15.0,order
15.0,calling
15.0,din
15.0,((
15.0,closed
15.0,wear
15.0,photos
15.0,huge
15.0,young
15.0,promise
15.0,disappointed
15.0,@weareoneexo
15.0,worried
15.0,stopped
15.0,aren't
15.0,we'll
15.0,cos
15.0,gf
